row_id,section,heading,body,bullets,quote,attribution,notes
AYY-001,objective,"Objective","Lock in trust and momentum after commitment by guiding the guest through next steps with clarity, celebration, and zero surprises—so they feel confident, cared for, and excited to take delivery.",,,,Top-of-module objective.
AYY-002,overview,"Why this matters","The ‘yes’ moment is a high-risk transition point. Confusion, tone shifts, or delays can trigger doubt and unwind the deal.",,,,"Frame as momentum protection."
AYY-003,overview,"What great looks like","A guest who feels celebrated, in control, safe from surprises, and confident about what happens next.",,,,"Use as a callout card."
AYY-010,framework,"YES PROTECTOR Framework","Confirm + celebrate → 3-step roadmap → time expectations → warm handoff → keep emotional temperature high.","Confirm|Roadmap|Time|Handoff|Reassure",,,Put as a simple framework visual.
AYY-011,science,"Buyer’s remorse risk","Regret risk peaks after commitment. The brain seeks confirmation and reacts strongly to uncertainty.",,,,"Tie to clarity + reassurance."
AYY-012,science,"Uncertainty feels like risk","Small unknowns (time, steps, trade, finance) feel big unless you make the process predictable.","3 steps|Time estimate|Frequent updates",,,Use as coaching point.
AYY-013,science,"Tone shift breaks trust","Warm → transactional creates the feeling ‘now they’ve got me.’ Keep tone consistent through handoffs.",,,,"Make this a non-negotiable standard."
AYY-014,science,"Cognitive load kills momentum","Too many details increases fatigue and impatience; simplify into one sentence per step.","One sentence per step|Confirm understanding",,,Supports roadmap structure.
AYY-020,standards,"Confirm the yes cleanly","Remove ambiguity: restate vehicle choice and get a simple confirmation.","Model/Trim|Color|‘Sound good?’",,,Prevents drift.
AYY-021,standards,"3-step roadmap","Always provide a predictable sequence immediately after yes.","Details|Paperwork|Delivery",,,Core standard.
AYY-022,standards,"Time expectations","Set honest timing and promise updates every 10–15 minutes if waiting.","Time|Updates|No silence",,,Reduces anxiety.
AYY-023,standards,"Warm handoff","Introduce the next person with context and benefit; never ‘dump’ the guest.","Name|Role|Benefit",,,Protects trust.
AYY-024,standards,"CRM notes capture","Record vehicle choice, trade notes, timing constraints, and sensitivities to prevent surprises.",,,,"Quality notes = fewer deal issues."
AYY-030,scripts,"3-step roadmap script","‘Here’s what happens next—it’s simple: 1) confirm details 2) paperwork 3) delivery setup.’",,,,"Copy/paste script block."
AYY-031,scripts,"No surprises statement","‘My goal is zero surprises. If anything changes, I’ll tell you right away and explain it clearly.’",,,,"Trust anchor line."
AYY-032,scripts,"Warm handoff to finance","Reframe finance as support and predictability; use permission-based language.","‘Would you like me to explain…?’",,,Reduces fear.
AYY-040,roleplay,"Role-play focus","Practice post-yes confirmation, roadmap delivery, warm handoffs, anxiety spikes, and waiting updates.","Confirm|Roadmap|Handoff|Reassure|Update",,,Manager-led huddle drill list.
AYY-050,worksheet,"Worksheet purpose","Reinforce clean confirmation, roadmap delivery, warm handoff language, and CRM notes discipline.",,,,"Use weekly with coaching."
