row_id,section,heading,body,bullets,quote,attribution,notes
EC-001,objective,"Objective","Build authentic emotional connection through empathy, curiosity, and personalization—so the guest feels understood, safe, and excited to move forward with confidence.",,,,Top-of-module objective.
EC-002,objective,"Mindset","Emotional connection is not a trick—it is respect in action. Our role is to create comfort, clarity, and confidence while serving the guest’s goals.",,,,"Use as a short mindset block near the top."
EC-003,objective,"Core Idea","Guests rarely decide by specs alone; they decide when the vehicle fits their life and they feel safe with the person guiding them.",,,,Use as the anchor sentence for the module.
EC-010,science,"2.0 The Science","Vehicle purchases trigger uncertainty, vulnerability, identity, and social pressure. Emotional connection lowers threat and increases confidence.",,,,Intro paragraph for science section.
EC-011,science,"Psychological Safety","When guests feel safe, they share more truth. When they feel judged or pressured, they protect themselves with vagueness or shutdown.","Calm tone|Permission-based language|Normalize big decisions",,,Turn into a “Success Standards” callout.
EC-012,science,"Empathy Builds Trust","Trust accelerates when we reflect, validate, and confirm before solving.","Reflect|Validate|Confirm (RVC)",,,Put RVC framework in scripts section too.
EC-013,science,"Identity-Based Decisions","People buy a version of themselves: responsible parent, smart planner, adventurer, comfort seeker, capable provider.","Values language|Lifestyle fit|Meaning over specs",,,Use this to guide benefit wording.
EC-014,science,"Future Pacing","When guests imagine ownership in vivid, real-life scenes, confidence increases.","Picture your day|Specific scenarios|Sensory language",,,Use during walkaround/test drive.
EC-015,science,"Peak-End Moments","Guests remember emotional peaks and endings—plan one “aha” moment and end each phase with calm clarity.","One peak|Clear next step|Reassurance",,,Add to roleplay drill.
EC-016,science,"Choice Comfort","Too many options increases anxiety. Clarity lowers cognitive load.","2–3 options|Simple comparisons|Ask preference",,,Link to selection best practice.
EC-020,standards,"70/30 Rule","Aim for the guest to talk more than you. Emotional connection requires listening and micro-confirmations.","Ask|Listen|Reflect|Confirm",,,Observer checklist item.
EC-021,standards,"Permission-Based Language","Earn the right to go deeper with respectful permission asks.","Can I ask…|Would it help if…|Do you mind if…",,,Reduces pressure and increases comfort.
EC-022,standards,"Micro-Confirmations","Every 60–90 seconds, check alignment and comfort.","How does that feel?|Is that matching what you pictured?|Does that solve it?",,,Use across walkaround and test drive.
EC-023,standards,"No Manipulation","Avoid guilt, fear tactics, and pressure timelines. We build urgency through clarity, not intensity.","No guilt|No threats|No “you have to”",,,Keeps brand trust-first.
EC-030,scripts,"RVC Word Track","Reflect + Validate + Confirm before problem solving.","Reflect|Validate|Confirm",,,Put as a copy-paste block in scripts.
EC-031,scripts,"Why Ladder","Find the emotional driver behind a need by asking one or two ‘why’ layers (with permission).","Permission ask|Why 1|Why 2",,,Avoid sounding like interrogation.
EC-032,scripts,"Values Bridge Sentence","Connect need → feature → feeling → real-life moment.","Because you mentioned…|This helps give you…|Especially when…",,,Core sentence template.
EC-033,scripts,"Future Pacing Prompts","Use specific life scenes to make benefits feel real.","Winter commute|School drop-off|Road trip|Parking|Weekend adventure",,,Add to daily coaching.
EC-040,roleplay,"Role-Play Focus","Practice emotional connection under real-world pressure: empathy, why ladder, future pacing, objections, peak-end moments.","RVC|Why ladder|Future pacing|Simplify choices|Calm wrap-up",,,Use for manager-led huddles.
EC-050,worksheet,"Worksheet Purpose","Reinforce values mapping, RVC practice, future pacing questions, and a personal ‘shared mission’ line for daily use.","Values → feelings|Needs → benefits|3 prompts|Reflection",,,Worksheet header row.
