row_id,section,heading,body,bullets,quote,attribution,notes
DT-001,objective,"Objective","Use a short, purposeful dealership tour to increase comfort, credibility, and trust—introducing key people and touchpoints that reinforce how we support the guest before, during, and after the sale.",,,,Top-of-module objective.
DT-002,objective,"Core Idea","A great tour is not about the building—it’s proof of support. It reduces anxiety and increases confidence before numbers.","Purpose first|Service proof moment|1–3 intros|Clean transition",,,Use as the module anchor framework.
DT-010,science,"2.0 The Science","Guests feel uncertainty and lack of control in unfamiliar environments. Familiarity and proof reduce threat and increase trust.",,,,Intro paragraph for science section.
DT-011,science,"Familiarity Reduces Anxiety","Seeing where things happen (service, support, amenities) turns unknown into known and increases comfort.","Short tour|Calm pace|Helpful stops only",,,Keep tour 3–6 minutes.
DT-012,science,"Credibility Through Proof","A real service touchpoint and real introductions act as social proof and credibility, stronger than promises.","Service drive|Advisor intro|Ownership support story",,,Make service the anchor stop.
DT-013,science,"Support Story","Guests buy long-term support, not just a vehicle. The tour reframes the dealership as a partner.","Who helps you|What it looks like|How scheduling works",,,Great for anxious guests.
DT-014,science,"Peak-End","A reassuring moment plus a clear ending creates a positive anchor before numbers.","One proof moment|Clear next step|Calm tone",,,End with clean transition.
DT-020,standards,"3–6 Minute Tour","Keep it short and purposeful; long tours feel like stalling.","3–6 minutes|max 4 stops|no rambling",,,Non-negotiable standard.
DT-021,standards,"Purpose First","Always explain why you’re touring: support + comfort + ownership clarity.","This will take 3 minutes|I want you to see support",,,Permission-based.
DT-022,standards,"Service Proof Moment","Include one quick service credibility moment as the core trust anchor.","Service drive|Advisor check-in|Scheduling clarity",,,Stronger than showroom walk.
DT-023,standards,"Introductions with Value","Only introduce people who increase confidence; limit to 1–3.","Advisor|Manager (optional)|Delivery/Business (optional)",,,Avoid 'scripted' feel.
DT-024,standards,"Clean Transition Back","End the tour with the next step, making numbers feel natural.","Now let’s look at numbers clearly|Service tone",,,Protects trust.
DT-030,scripts,"Tour Permission Line","Ask permission and set timing to reduce pressure.","3 minutes|Can I show you something quick?",,,Copy/paste line.
DT-031,scripts,"Service Credibility Line","Connect service touchpoint to guest support and ease.","This is where you’ll check in|We keep it simple",,,Use with calm confidence.
DT-032,scripts,"Advisor Introduction","Short intro that frames relationship and support.","This is who helps you once you own it",,,Keep it quick.
DT-040,roleplay,"Role-Play Focus","Practice tour permission, service proof moment, intro, and clean transition—especially with rushed or anxious guests.","Permission|Purpose|Service proof|Intro|Transition",,,Use for manager-led huddles.
DT-050,worksheet,"Worksheet Purpose","Reinforce a short tour plan: purpose line, 4 stops, service credibility sentence, and transition to numbers.","Purpose|Stops|Service sentence|Transition",,,Use after shadowing.
