row_id,section,heading,body,bullets,quote,attribution,notes
PSL-001,objective,"Objective","Turn delivery into long-term loyalty by executing a consistent post-sale follow-up system that protects trust, builds confidence in ownership, and creates repeat/referral momentum—without sounding scripted or pushy.",,,,Top-of-module objective.
PSL-002,overview,"Why this matters","Customers leave when they feel forgotten. Post-sale follow-up prevents regret, builds trust, and increases service retention, reviews, and referrals.",,,,"Use as a top card."
PSL-003,overview,"LOYALTY LOOP","Confirm ownership success → reduce friction → build memory → introduce service → earn the ask.","Success|Friction|Memory|Service|Ask",,,Use as framework visual.
PSL-010,science,"First 7–10 days","Early ownership experiences shape emotional memory and loyalty.","Fast follow-up|Solve friction|Reinforce fit",,,Tie to cadence.
PSL-011,science,"Helpfulness beats discounts","Support and reliability create stronger loyalty than price memories.","Setup help|How-to|Quick answers",,,Coaching point.
PSL-012,science,"Consistency signals professionalism","A predictable cadence makes customers feel remembered, not hunted.","48h|7d|30d|90d|Service milestones",,,Standard follow-up rhythm.
PSL-013,science,"Reciprocity earns the ask","When you help first, customers are more open to reviews and referrals.","Help first|Ask later",,,One-ask rule.
PSL-014,science,"Service familiarity drives retention","Service retention rises when customers understand what to expect and feel welcomed.","Warm intro|Schedule help|Explain process",,,Make service feel supportive.
PSL-020,standards,"Cadence minimum","Follow-up at 24–48 hours, 7 days, 30 days, 90 days, plus service milestone touches.",,,,"Non-negotiable."
PSL-021,standards,"Purposeful touches","Every follow-up must be helpful; avoid empty ‘just checking in.’","Help|Answer|Solve|Set service",,,Quality over quantity.
PSL-022,standards,"Personalization","Use notes to reference something real about them and their life.","Priorities|Lifestyle|Excitement",,,Build relationship memory.
PSL-023,standards,"One ask per touch","Never stack review + referral + service asks; choose one based on value delivered.",,,,"Protects trust."
PSL-024,standards,"Own and solve issues","Acknowledge, take next step, promise update time, and follow through.","Acknowledge|Next step|Update time",,,Trust recovery.
PSL-030,scripts,"48-hour help script","Ask ‘love + friction’ and offer help with setup or questions.",,,,"Make it human."
PSL-031,scripts,"30-day service intro","Ask permission to schedule and explain what to expect for the first visit.",,,,"Service as support."
PSL-032,scripts,"Review ask","Short, earned, no-pressure request after value is delivered.",,,,"Keep simple."
PSL-033,scripts,"Referral ask","Natural, respectful line connecting back to trust and care.",,,,"No pitch."
PSL-040,roleplay,"Role-play focus","Practice 48-hour call, service intro, problem ownership, review ask, and referral ask.","48h|Service|Solve|Review|Referral",,,Manager huddle drills.
PSL-050,worksheet,"Worksheet purpose","Plan cadence dates, personalization notes, service intro, and one-ask follow-up lines.",,,,"Use weekly."
