row_id,section,heading,body,bullets,quote,attribution,notes
SSO-001,objective,"Objective","Learn how to effectively present vehicle options and address customer concerns or objections, guiding them toward a confident and informed purchasing decision.",,,,Top-of-module objective.
SSO-002,objective,"Core Idea","A great presentation is not a feature tour—it’s a needs-based solution story that keeps the guest in control.","Needs-based|Benefit-first|Invite feedback|2–3 options",,,Use as a module anchor.
SSO-003,objective,"Service-First Quote","Serving the guest well is what creates the sale—not pressure.",,,"A sale is not something you pursue; it’s what happens to you while you are immersed in serving others.",Mike White,Use as opening quote block.

SSO-010,science,"3.0 The Science","This module applies cognitive and emotional principles to help guests feel understood, reduce uncertainty, and build confidence during selection and turns.",,,,Intro paragraph for science section.
SSO-011,science,"Reciprocity","People feel a pull to respond positively after receiving value or kindness.","Small gestures|Comfort items|Helpful effort",,"We'd like to offer you a complimentary coffee while you explore our vehicle options.",,Reference: Cialdini (1984).
SSO-012,science,"Commitment & Consistency","When guests state preferences, they tend to align future decisions with those stated values.","Repeat priorities|Confirm must-haves|Link back to their words",,"You mentioned safety features are important to you. How do you feel about the advanced safety package in this model?",,Reference: Cialdini (1984).
SSO-013,science,"Social Proof","When uncertain, people look to what others like them chose.","Best-sellers|Testimonials|Common use-cases",,"This model is our most popular choice among families who value both comfort and safety.",,Reference: Cialdini (1984).
SSO-014,science,"Authority","Expert signals reduce doubt and increase confidence.","Certifications|Awards|3rd-party reviews",,"This vehicle was rated best in its class by AutoReview Magazine.",,Reference: Cialdini (1984).
SSO-015,science,"Liking","People are influenced by those they like and feel connected to.","Rapport|Common interests|Genuine enthusiasm",,"I also enjoy weekend camping trips; this truck has been perfect for my outdoor adventures.",,Reference: Cialdini (1984).
SSO-016,science,"Scarcity","Limited availability increases perceived value and urgency.","Limited colors|Rare trims|Time-sensitive availability",,"This is the last model we have in this color with the premium package.",,Reference: Cialdini (1984).
SSO-017,science,"Dual-Process Theory","Blend emotional (fast) and analytical (slow) decision systems.","Story + visuals|Specs + numbers|Hands-on demo",,"Let me show you how it feels, and then we’ll review the numbers so you can decide confidently.",,Reference: Kahneman (2011).
SSO-018,science,"Autonomy, Mastery, Purpose","People are motivated by control, competence, and meaning.","Give choices|Teach features|Connect to goals",,"This car’s customizable technology lets you tailor your experience—so you stay in control.",,Reference: Pink (2009).
SSO-019,science,"Predictably Irrational","Emotions and biases shape decisions; guide toward clarity and long-term value.","Reframe value|Reduce regret|Compare total impact",,"I understand the price difference feels big—let’s look at the long-term value this hybrid offers.",,Reference: Ariely (2008).

