row_id,section,heading,body,bullets,quote,attribution,notes,,
UNT-001,objective,Objective,"Uncover what truly matters to the guest (needs + motivations) while building trust through clarity, empathy, and a consistent, guest-first process.",,,,Top-of-module objective.,,
UNT-002,objective,Outcome,"By the end of this module, the team can run a structured needs conversation that feels natural, earns permission, and produces a clear ‘Needs Map’ for vehicle selection.",Needs Map|Permission-based questions|Summarize + confirm|Smooth transition to selection,,,Use as success criteria.,,
UNT-003,objective,Definition: Uncovering Needs + Trust,A guided conversation that helps guests feel understood and respected—so we can recommend the right solution without pressure.,Curiosity|Listening|Clarity|Respect,,,Short definition card.,,
UNT-004,objective,Why It Matters,Guests don’t resist questions—they resist feeling ‘worked.’ Trust is built when questions have a clear purpose and lead to helpful next steps.,Purposeful questions|Transparent intent|Helpful next step,,,Use as coaching anchor.,,
UNT-010,mindset,Mindset,Your job is to understand before you recommend. We earn the right to present options by listening deeply and confirming we ‘got it.’,,"Seek first to understand, then to be understood.",Stephen R. Covey,Use as opening quote block.,,
UNT-011,mindset,Curiosity Over Control,"Curiosity keeps the guest relaxed. Control makes the guest defensive. Lead with calm questions, not commands.",Curious tone|No assumptions|No rush,,,Coach: “If you feel urgency, slow down.”,
UNT-012,mindset,Permission Creates Comfort,Permission-based questions reduce resistance and increase cooperation.,Is it okay if…|Do you mind if…|Can I ask…,,,Standardize language across the store.,,
UNT-013,mindset,Transparency Builds Trust,"Explain WHY you’re asking. Guests trust questions that help them, not questions that help us close.",Reason for asking|Benefit to guest,,,Make it a habit.,,
UNT-020,science,1.0 The Science,"Great discovery reduces uncertainty. When guests feel understood, they become more open, honest, and decisive.",,,,Intro paragraph for science section.,,
UNT-021,science,Cognitive Load,Too many options create stress. Clear needs reduce choice overload and speed up decisions.,Limit options|Clarify priorities|Reduce noise,,,Use 2–3 best-fit options rule.,,
UNT-022,science,Loss Aversion,Guests fear making a wrong choice more than they desire a ‘good deal.’ Discovery lowers regret risk.,Prevent regret|Confirm must-haves|Explain tradeoffs,,,Tie to “confidence in decision.”,,
UNT-023,science,Trust Signals,"Trust grows when we listen, reflect, and keep promises (even small ones).",Note-taking|Summaries|Time respect|Follow-through,,,Coach: trust is behavioral.,,
UNT-024,science,Autonomy & Control,"People cooperate when they feel choice and autonomy. Discovery should feel like collaboration, not interrogation.",Offer choices|Ask permission|Invite corrections,,,Use “Did I get that right?”,,
UNT-025,science,Consistency Effect,A consistent process feels safer than a random experience. Guests relax when the path is clear.,Simple steps|Clear next move|Consistent language,,,Align to one-price consistency.,,
UNT-030,standards,2.0 Success Standards,"These behaviors make discovery feel helpful, professional, and calm.",,,,Section intro.,,
UNT-031,standards,Set a 60-Second Agenda,"Before questions, explain what happens next in one minute so the guest knows the ‘why.’",What we’ll do|How long|What you’ll get,,,Turn into a callout card.,,
UNT-032,standards,"Start Broad, Then Funnel","Begin with open questions, then narrow into must-haves and constraints.",Open → specific|Lifestyle → features|Pain points → solution,,,Avoid jumping straight to payment.,,
UNT-033,standards,Ask 3 Before You Tell 1,"For every recommendation or feature, ask 3 questions first.",Ask|Ask|Ask|Then recommend,,,Coaching rule.,,
UNT-034,standards,Use Neutral Language,Avoid leading questions that push a model or outcome.,Neutral wording|No assumptions|No pressure,,,Replace “Wouldn’t you agree…” language.,,
UNT-035,standards,Confirm + Summarize,"Summarize what you heard, then ask the guest to confirm or correct it.",Recap|Confirm|Prioritize,,,This is the trust-building moment.,,
UNT-036,standards,Prioritize Must-Haves vs Nice-to-Haves,Help guests rank what matters most before showing vehicles.,Top 3 must-haves|Top 3 nice-to-haves,,,Use as selection filter.,,
UNT-037,standards,Decision-Makers Early,Respectfully clarify who is involved in the decision and what they care about.,Who else?|What matters to them?|Next step,,,Do this without sounding suspicious.,,
